LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	TOTAL_BP_MISMATCH	LINEAR_LENGTH	LINEAR_DOC	REL_ABUNDANCE
order	Pasteurellales	135625	15644	950078	12763	546262	1.7392	0.0183
order	Bacillales	1385	12307	860653	6878	585628	1.4696	0.0144
order	Coriobacteriales	84999	12170	743570	12949	302186	2.4606	0.0142
order	Selenomonadales	909929	11521	749812	12911	487280	1.5388	0.0135
order	Corynebacteriales	85007	7405	568055	6548	439921	1.2913	0.0087
order	Fusobacteriales	203491	6954	396378	5877	254281	1.5588	0.0081
order	Pseudomonadales	72274	5351	343370	6890	233314	1.4717	0.0063
order	Flavobacteriales	200644	4864	350692	6038	246527	1.4225	0.0057
order	Burkholderiales	80840	4207	272438	4054	212873	1.2798	0.0049
order	Neisseriales	206351	4088	256618	3585	163514	1.5694	0.0048
order	Erysipelotrichales	526525	3883	293928	8203	205340	1.4314	0.0045
order	Spirochaetales	136	2987	207962	4007	158901	1.3088	0.0035
order	Enterobacteriales	91347	1052	61068	1460	36901	1.6549	0.0012
order	Tissierellales	1737405	919	54917	422	37114	1.4797	0.0011
order	Propionibacteriales	85009	765	49609	422	45053	1.1011	0.0009
order	Mycoplasmatales	2085	224	12697	56	8022	1.5828	0.0003
order	Cardiobacteriales	135615	208	13737	322	11598	1.1844	0.0002
order	Bifidobacteriales	85004	138	9546	201	6465	1.4766	0.0002
order	Eggerthellales	1643822	71	5260	172	3638	1.4458	0.0001
order	Sphingomonadales	204457	41	2235	26	1211	1.8456	0.0000
order	Alteromonadales	135622	29	1415	7	556	2.5450	0.0000
order	Hydrogenophilales	119069	21	1183	8	950	1.2453	0.0000
order	Cytophagales	768507	20	608	0	118	5.1525	0.0000
order	Sphingobacteriales	200666	13	459	6	306	1.5000	0.0000
order	Rhizobiales	356	12	558	2	394	1.4162	0.0000
order	Xanthomonadales	135614	11	631	3	416	1.5168	0.0000
order	Vibrionales	135623	11	387	3	235	1.6468	0.0000
order	Verrucomicrobiales	48461	10	611	7	520	1.1750	0.0000
order	Thermoanaerobacterales	68295	8	259	0	125	2.0720	0.0000
order	Acidaminococcales	1843488	7	240	2	141	1.7021	0.0000
order	Cellvibrionales	1706369	6	192	0	186	1.0323	0.0000
order	Chlamydiales	51291	6	398	5	243	1.6379	0.0000
order	Synergistales	649776	6	200	1	104	1.9231	0.0000
order	Rhodobacterales	204455	6	187	0	121	1.5455	0.0000
order	Caulobacterales	204458	5	252	2	204	1.2353	0.0000
